Technology Industrial Placement,Accenture,30/04/2019,Placement Year,Competitive,London,"We believe powerful minds can make unique contributions. Bring your individual strengths to a career at Accenture and see how you can create change in the world around you. We look for passionate, curious and solution-driven team players who are ready to ignite ideas and inspired to push boundaries.
 
Explore the latest technologies. Solve real-world problems. Meet amazing people. Whatever your mindset, skillset or passion, you’ll find a graduate programme to suit. With a high-energy, diverse environment full of opportunities to challenge, develop and inspire you.
 
Discover the unique power of your mind and use it to make a difference with Accenture.
The best way to find out if a career at Accenture is right for you is to apply for one of our Industrial Placements. As well as getting a taste of what it’s like to work with us, you’ll gain valuable live project experience and enjoy a competitive pro-rata salary.
 
We offer a choice of 12-month placements for across our Technology business:
 
You will apply to join one of three areas, Software Engineering, Technology Architecture or Client Delivery. Depending on which team you join, you’ll study technologies including Java, Digital, Dev Ops, and SAP as well as the latest technologies on the market to help deliver business transformation. You’ll work on live projects where you’ll build your skills on the job, learn more about the clients business and technology frameworks and how we can shape new solutions. By the end of the year, you’ll have gained some valuable experience, from development to deployment, and could be ICTTech-certified, depending on the programme.",IT,15,Paid,https://www.ratemyplacement.co.uk/jobs/17387/accenture/technology-industrial-placement
Cyber Risk Industrial Placement,Deloitte,15/03/2019,Placement Year,Competitive,Nationwide,"Whether you join us on the strategic or technical side, you’ll be working on all kinds of challenging projects to mitigate cyber risks. From trying to hack their systems to understanding which cyber threats could have the biggest impact, your work will keep clients safe, secure and one step ahead.
 
Cyber Strategy and Transformation: Not every job within Deloitte Cyber requires a technical background. As cyber attacks occur with greater frequency and severity, board members and executives are beginning to realise that technology solutions are just one part of a comprehensive approach to managing their cyber risk.
 
Within the Cyber Strategy and Transformation stream, you’ll be helping clients to identify and protect their critical information and assets, ensuring that they can not only survive, but also thrive, in a competitive market place.
 
Cyber Technical: With technology changing by the second, and security breaches ever-more common, cyber security is critical to business. We provide clients with deep technical knowledge and expertise to secure their organisation, from implementing advanced defensive technologies to trying to compromise a client’s network to identify critical vulnerabilities.
 
Within Cyber Technical, you’ll be streamed into either our Cyber Defence capability, which covers pen testing, incident response and threat intelligence, or our Cyber Technical Transformation capability, which covers identity and access management, security architecture, and technology design and implementation (for example, data loss prevention tools).",IT,0,Paid,https://www.ratemyplacement.co.uk/jobs/17085/deloitte/cyber-risk-industrial-placement
"Research, Engineering, Manufacturing, and Sustaining Placements",Schlumberger,31/08/2019,Placement Year,Competitive,Cambridge,"Internships at our Research, Engineering, Manufacturing, and Sustaining centers present you with a real industry problem to solve. You’ll work with a team of experts for a minimum of 3 to 6 months—meeting the criteria for final-year projects and internships for most schools and universities.",Construction,52,Paid,https://www.ratemyplacement.co.uk/jobs/17487/schlumberger/research-engineering-manufacturing-and-sustaining-placements
Real Estate Summer Vacation Scheme,Deloitte,15/04/2019,Placement Year,Competitive,Nationwide,"Working with some of the world’s most recognised brands, you’ll help them find the cleverest solutions to their most complex problems. From business restructuring and mergers and acquisitions, to financial crime investigations and real estate. If you thrive on intellectual challenges you’ll fit right in.",Construction,0,Paid,https://www.ratemyplacement.co.uk/jobs/17091/deloitte/real-estate-summer-vacation-scheme
Test Engineering Placement,ASM Assembly Systems,22/02/2019,Placement Year,"18,000",Dorset,"Working at ASM is a unique experience! We have a strong emphasis on internal progression and we only recruit exceptional individuals. In fact, many Senior Managers started their careers with us in more junior roles.

We appreciate that you will not come into the role a seasoned professional; so we will provide all the training that you need to become a competent & integral part of the team. If you’re expecting a placement of filing, faxing and fetching coffee, then you’re in for a shock! We will make it our mission to make sure your 13-month placement is as enjoyable as possible and educational.

We are now approaching our 4th intake of placement students, with our 2019 intake set to be our biggest yet. We will be recruiting 18 placement students, across several key departments, such as: Automation Engineering, Intellectual Property, Software Engineering, Test Engineering, Manufacturing Engineering, Solutions Engineering, Media, Tooling Engineering and Electrical Engineering. Furthermore, we are proud to say that we have two new placements for 2019 in Business Analytics and a Manufacturing Systems due to the success of our current placements.

To add to our growing success, our placement opportunities for the second-year running have ranked 19 in the RateMyPlacement top 50 placement opportunities in the UK! Not only do we offer a best in class placement opportunities; we offer a higher that industry average base salary of £18K. In addition to a generous salary and superb training and development opportunities, we will give you a £1K starter bonus when you join us. If this sounds like the placement opportunity for you, we want to hear from you.",Construction,156,Paid,https://www.ratemyplacement.co.uk/jobs/17691/asm-assembly-systems/test-engineering-placement
Product Quality - Engineering & Business Placement,General Electric,31/12/2019,Placement Year,Competitive,Cardiff,"In the 12-month Product Quality Internship, you'll gain invaluable skills and experience in covering all aspects of quality from product design to issue resolution and elimination. You could be supporting investigations, auditing products, checking defaults, reviewing quality of materials used in production, analysing key data or assisting with the rollout of a new process.",Construction,187,Paid,https://www.ratemyplacement.co.uk/jobs/17216/ge-general-electric/product-quality-engineering-and-business-placement
Electrical/Power Systems Engineering Placement,Siemens,09/04/2019,Placement Year,Competitive,Manchester,Embark on a journey to join the fast pace world of the energy transition thought leadership Team in Manchester. Siemens Power Technologies International (Siemens PTI) offers a holistic approach to mastering the technical and economical challenges of today.,Construction,245,Paid,https://www.ratemyplacement.co.uk/jobs/17797/siemens/electrical-power-systems-engineering-placement
Module Test Engineering Placement,ASM Assembly Systems,22/02/2019,Placement Year,"18,000",Dorset,"Working at ASM is a unique experience! We have a strong emphasis on internal progression and we only recruit exceptional individuals. In fact, many Senior Managers started their careers with us in more junior roles.

 We appreciate that you will not come into the role a seasoned professional; so we will provide all the training that you need to become a competent & integral part of the team. If you’re expecting a placement of filing, faxing and fetching coffee, then you’re in for a shock! We will make it our mission to make sure your 13-month placement is as enjoyable as possible and educational.",Construction,156,Paid,https://www.ratemyplacement.co.uk/jobs/17736/asm-assembly-systems/module-test-engineering-placement
Corporate Buying Industrial Placement,Aldi,30/05/2019,Placement Year,"25,000",Atherstone,"At Aldi, our Industrial Placements are tough. But they’re tough for a reason. It’s an opportunity for you to contribute to a thriving, global business – one that’s ranked third in The Times Top 100 Graduate Employers list for 2018.",Finance,84,Paid,https://www.ratemyplacement.co.uk/jobs/16890/aldi/corporate-buying-industrial-placement
Business & Financial Advisory Industrial Placement,Deloitte,15/04/2019,Placement Year,Competitive,Nationwide,"We’re more involved in our client’s affairs than ever before, providing advice and services far beyond pure financial diligence. From business restructuring and mergers & acquisitions, to financial crime investigations and debt advisory. Your opportunities here are huge.",Finance,0,Paid,https://www.ratemyplacement.co.uk/jobs/17096/deloitte/business-and-financial-advisory-summer-vacation-scheme
Corporate Risk and Broking Summer Internship,Willis Towers Watson,01/04/2019,Summer Internship,Competitive,London,"Designed for university students one year from graduation, the Willis Re Summer Internship Program is an 8 week learning experience that provides undergraduates the opportunity to gain hands-on experience working in the reinsurance industry whilst contributing to our business.",Finance,15,Paid,https://www.ratemyplacement.co.uk/jobs/17444/willis-towers-watson/corporate-risk-and-broking-summer-internship
Retail Banking and Wealth Management Summer Internship,HSBC,17/04/2019,Summer Internship,Competitive,Nationwide,"We are looking for dedicated and courageous students - from all backgrounds and degree disciplines - to join our Summer Internships and ultimately our global Graduate Programme. At HSBC we are open to different ideas and cultures, connected to our customers, communities and each other, and dependable, we do the right thing. These are the values that guide us every day. We seek to recruit people who share these values and will help us to sustain them.",Finance,0,Paid,https://www.ratemyplacement.co.uk/jobs/16733/hsbc/retail-banking-and-wealth-management-summer-internship
Business and Finance Industrial Placement,Collins Aerospace,16/02/2019,Placement Year,Competitive,Widnes,"Collins Aerospace is a global leader in aerospace and defence. There are few – if any – aircraft around which don’t have our equipment in them somewhere. Delavan Limited are world class at design and manufacture of Industrial spray nozzles.

You will get to work in a finance department supporting a business of 49 employees and dealing with both Industrial and Aerospace accounting. For someone who’s bright, switched on and willing to learn, it’s the best possible place to begin a career within the Finance function.",Finance,253,Paid,https://www.ratemyplacement.co.uk/jobs/17827/collins-aerospace/business-and-finance-industrial-placement
Credit Analyst Placement,Tech Data,15/02/2019,Placement Year,"15,000",Basingstoke,"We're currently looking for a Credit Analyst to join our thriving Finance team for a 1 year placement at Tech Data.

Job Purpose:
Responsible for reviewing and assessing the creditworthiness of new and existing accounts in line with our credit and insurance policies.
Monitoring and communicating changes in regard to the creditworthiness of our customers.
Ensuring our customer base is maintained and accurate
Provide high levels of customer satisfaction to new and existing customers.",Finance,52,Paid,https://www.ratemyplacement.co.uk/jobs/17641/tech-data/credit-analyst-placement
